cross,auc_oof_te,auc_leaky_te,gap_leaky_minus_oof,nunique,mean_count,median_count,min_count,n_cells_lt20,n_cells_lt50,row_share_lt20,row_share_lt50,sparse_risk,corr_with_b5_oof,auc_oof_te_on_b5_midband,corr_te_vs_residual,group
w_pair×days_q10,0.5944751733370274,0.614454609343839,0.019979436006811624,40,373.25,164.5,57,0,0,0.0,0.0,False,0.4862030457387278,0.49378301989638956,-7.301408168205107e-05,candidate
t_pair×days_q5,0.5940728548920887,0.6055133673917006,0.011440512499611866,20,746.5,353.5,129,0,0,0.0,0.0,False,0.4620822870129379,0.4953846086156905,0.008023590668580343,candidate
age_coarse×days_q5,0.5940525785002377,0.6133491852423294,0.01929660674209166,40,373.25,385.5,14,2,4,0.0020093770931011385,0.006162089752176825,False,0.43828248864551217,0.5003224076493964,0.008919600603704409,candidate
B5:days_q10,0.5930945625235355,0.6022955662024443,0.009201003678908748,10,1493.0,1493.0,1493,0,0,0.0,0.0,False,0.4878565790887697,0.4908517746108987,0.0016654892644643662,b5_like
days_fixed,0.5916171723673431,0.6004075728915139,0.008790400524170794,7,2132.8571428571427,1855.0,1351,0,0,0.0,0.0,False,0.4831740300049782,0.4939646339096584,0.004792139607234202,candidate
ratio_q5,0.5915469389266121,0.598829845694419,0.0072829067678068515,6,2488.3333333333335,2957.0,144,0,0,0.0,0.0,False,0.4983156392681529,0.5233983868373594,0.0016721395102305755,candidate
c_pair×days_q5,0.5912003245814953,0.6047332860831205,0.013532961501625196,20,746.5,534.5,119,0,0,0.0,0.0,False,0.47092532534502485,0.4902430132380238,0.00341453577723436,candidate
age_coarse×days_fixed,0.5902652470505438,0.618322772691845,0.02805752564130115,56,266.60714285714283,263.0,6,5,8,0.004420629604822505,0.011587407903549899,False,0.42347558135248564,0.502308734534088,0.007635195790337983,candidate
age_coarse×days_q10,0.5895977432550022,0.626070419336682,0.0364726760816797,80,186.625,186.5,5,8,17,0.0056932350971198925,0.025920964501004687,False,0.41113091270083246,0.49834115275767316,0.005434204177421944,candidate
days_fixed×version,0.5768033151179186,0.6303525942635775,0.05354927914565888,133,112.25563909774436,36.0,13,7,90,0.007769591426657736,0.18164768921634294,False,0.38458957654628473,0.5037158764868273,-0.0010560947715008056,candidate
version×days_fixed,0.5768033151179186,0.6303525942635775,0.05354927914565888,133,112.25563909774436,36.0,13,7,90,0.007769591426657736,0.18164768921634294,False,0.38458957654628473,0.5037158764868273,-0.0010560947715008056,candidate
version×days_q5,0.5761850220010047,0.6207658913173455,0.044580869316340754,95,157.1578947368421,50.0,33,0,47,0.0,0.13523107836570664,False,0.39289602504871124,0.49464684751804777,0.0019040338964959255,candidate
t3_full×code×days_q5,0.5727480616266971,0.7553434885465007,0.18259542691980357,1206,12.379767827529022,6.0,1,856,1203,0.30656396517079704,0.9895512391158741,True,0.2321109708993201,0.5209697577225065,0.021888357174326203,candidate
t3_full×days_q5,0.5719839277625053,0.720066696640896,0.14808276887839067,768,19.440104166666668,18.0,1,397,755,0.1884125920964501,0.9536503683858004,True,0.2501309362215161,0.516478782936789,0.02003991495992003,candidate
region×days_q5×version,0.5704149330973609,0.7357585092179711,0.16534357612061024,1410,10.588652482269504,3.0,1,1265,1345,0.3536503683858004,0.51768251841929,True,0.3186036270223153,0.5118943734854295,0.009953216752127968,candidate
